CATNUM	NAME	RA_OBJ	DEC_OBJ	GLON_OBJ	GLAT_OBJ	ALWAYS_CLEAN
6N	30S	9N	9N	9N	9N	1N
195  IGR J17254-3257  261.35000  -32.95000  354.28095    1.47932  F
196  IGR J17098-3628  257.45000  -36.47000  349.55481    2.06644  F
197  Cir X-1  230.17030  -57.16670  322.11856    0.03771  T
198  GRO J1008-57  152.44170  -58.29170  282.99746   -1.82164  T
199  4U 1954+31  298.92640   32.09700   68.39200    1.92693  T
200  4U 1735-44  264.74290  -44.45000  346.05430   -6.99386  T
201  4U 1608-522  243.17920  -52.42310  330.92633   -0.85052  T
202  3C 454.3  343.49060   16.14820   86.11104  -38.18382  F
203  SN 2005cs  202.47200   47.17500  104.82491   68.57854  F
204  SWIFT J1753.5-0127  268.36790   -1.45250   24.89700   12.18557  T
205  AX J1631.9-4752  248.00790  -47.87420  336.32996    0.16892  T
206  IGR J11321-5311  173.02500  -53.18300  291.08735    7.85443  F
207  SGR 1806-20  272.16380  -20.41100    9.99593   -0.24182  F
208  IGR J17473-2721  266.82530  -27.34410    1.55293    0.51041  T
209  1A 0535+262   84.72740   26.31580  181.44503   -2.64352  T
210  1RXS J010106.4+364200   15.27700   36.70000  125.09077  -26.13121  F
211  IC 5063  313.00980  -57.06880  339.99118  -38.73574  F
213  4U 1246-58  192.41400  -59.08740  302.70257    3.78356  F
214  V1223 Sgr  283.75930  -31.16350    4.95799  -14.35464  T
215  Mrk 421  166.11380   38.20880  179.83175   65.03148  T
216  XTE J1858+034  284.67900    3.43400   36.81733   -0.05126  F
217  Mrk 509  311.04060  -10.72350   35.97111  -29.85527  F
218  MCG -06-30-015  203.97410  -34.29560  313.29230   27.68017  F
219  ESO 297-018   24.65480  -40.01140  268.72714  -73.82864  F
220  NGC 7172  330.50800  -31.86980   15.12881  -53.06596  T
221  2MASX J05580206-3820043   89.50830  -38.33460  244.52641  -26.36140  F
222  TV Col   82.35600  -32.81790  236.78949  -30.60442  F
223  SWIFT J1353.3-0025  208.35900   -0.40000  333.88260   58.69543  F
224  1RXS J173021.5-055933  262.58960   -5.99260   17.92952   15.01311  F
225  NGC 2992  146.42520  -14.32640  249.70612   28.78091  F
226  NGC 7582  349.59790  -42.37060  348.07834  -65.69581  F
227  NGC 6300  259.24780  -62.82060  328.49143  -14.05219  F
230  DO Dra  175.90980   71.68900  130.30432   44.45596  F
231  Oph Cluster  258.10820  -23.37590    0.56432    9.27186  F
232  MR 2251-178  343.52420  -17.58190   46.19741  -61.32526  F
233  4C +74.26  310.65540   75.13400  108.99783   19.52654  F
234  NGC 5728  220.59970  -17.25320  337.32457   38.09833  F
235  NGC 235A   10.72000  -23.54100   94.14025  -85.92502  F
236  Mrk 348   12.19640   31.95700  122.27620  -30.91137  T
237  Gamma Cas   14.17720   60.71670  123.57686   -2.14845  T
238  SDSS J010519.43-001256.5   16.33100   -0.21600  130.56562  -62.88175  F
239  NGC 526A   20.97660  -35.06540  263.75644  -79.45834  F
240  Fairall 9   20.94080  -58.80570  295.07271  -57.82658  F
241  PSR J0146+61   26.59340   61.75090  129.38400   -0.43073  F
242  NGC 788   30.27690   -6.81550  165.25383  -63.80457  F
243  ESO 198-024   39.58210  -52.19230  271.63830  -57.94771  F
244  NGC 1142   43.80080   -0.18360  175.87542  -49.88876  F
245  NGC 1275   49.95070   41.51170  150.57583  -13.26120  F
246  NGC 1365   53.40160  -36.14040  237.95610  -54.59805  F
247  3C 105   61.81860    3.70720  187.59873  -33.61834  F
248  3C 111.0   64.58870   38.02660  161.67556   -8.81977  F
249  3C 120   68.29620    5.35430  190.37289  -27.39690  F
250  2MASX J04440903+2813003   71.03760   28.21680  172.73468  -11.41499  F
251  T CrB  239.87570   25.92020   42.37386   48.16467  F
252  IGR J16318-4848  247.96670  -48.80830  335.62918   -0.44931  T
254  IRAS 05078+1626   77.68960   16.49890  186.11349  -13.49920  F
255  NGC 1851   78.52750  -40.04360  244.50957  -35.03608  F
256  LMC X-3   84.73420  -64.08230  273.57419  -32.08232  T
257  PKS 0548-322   87.66990  -32.27160  237.56602  -26.14424  F
258  MCG +08-11-011   88.72340   46.43930  165.73120   10.40704  F
259  IGR J18483-0311  282.07500   -3.16170   29.76043   -0.74388  F
260  Mrk 3   93.90150   71.03750  143.29605   22.71867  T
261  4U 0728-25  112.22330  -26.10810  240.28168   -4.05042  F
262  SDSS J074625.87+254902.2  116.60780   25.81730  194.58101   22.89123  F
263  PQ Gem  117.82250   14.74020  206.06065   19.77013  F
264  2MASS J07594181-3843560  119.92080  -38.76000  254.51720   -4.69546  F
265  2MASX J08033430+5537030  120.89300   55.61700  162.28712   32.13427  F
266  [HB89] 0836+710  130.35150   70.89510  143.54070   34.42565  F
267  NGC 3081  149.87310  -22.82630  259.01722   25.03428  F
268  Mrk 110  141.30360   52.28630  165.01116   44.36383  F
269  2MASX J10384520-4946531  159.68830  -49.78160  282.04957    7.63349  F
270  NGC 3227  155.87740   19.86510  216.99134   55.44534  T
271  NGC 3281  157.96700  -34.85370  273.00704   19.78276  F
272  MCG +04-22-042  140.92920   22.90900  206.05540   43.07843  F
273  CGCG 420-015   73.35730    4.06160  194.63717  -23.88379  F
274  IGR J11435-6109  175.96670  -61.15000  294.87133    0.65981  F
275  2MASS J17200591-3116596  260.02540  -31.28390  355.02192    3.34648  F
276  NGC 4051  180.79010   44.53130  148.88301   70.08519  F
277  NGC 4138  182.37410   43.68530  147.30498   71.40377  F
278  RT Cru  188.72390  -64.56560  301.15621   -1.75090  F
279  ESO 506-G027  189.72750  -27.30780  299.51406   35.48080  F
280  LEDA 170194  189.77620  -16.17970  298.62110   46.58879  F
281  NGC 4593  189.91430   -5.34430  297.48298   57.40276  F
282  4U 1344-60  206.90000  -60.61780  309.77051    1.50610  F
283  4U 1254-690  194.40480  -69.28860  303.48183   -6.42345  F
284  Coma Cluster  194.95310   27.98070   58.08096   87.95752  F
285  ESO 323-077  196.60890  -40.41460  306.01817   22.36726  F
286  MCG -03-34-064  200.60190  -16.72860  313.53982   45.50430  F
287  Mrk 279  208.26440   69.30820  115.04147   46.86473  F
288  EXO 0748-676  117.13880  -67.75000  279.97536  -19.81063  T
289  3C 390.3  280.53750   79.77140  111.43790   27.07394  F
290  1RXS J145341.1-552146  223.45580  -55.36220  319.77956    3.45493  F
291  Mrk 290  233.96820   57.90260   91.48922   47.95344  F
292  4U 1543-62  236.97620  -62.56980  321.75534   -6.33712  F
293  NY Lup  237.06080  -45.47780  332.44020    7.02307  F
294  MCG -01-13-025   72.92300   -3.80940  201.94158  -28.25864  F
295  CXOU J162046.2-513006  245.15420  -51.51000  332.43603   -1.03914  F
296  4U 1624-490  247.01180  -49.19850  334.91503   -0.26314  T
297  Mrk 1498  247.01690   51.77540   79.72319   42.89611  F
298  Cas A  350.85000   58.81500  111.73474   -2.12957  F
299  4U 1700+24  256.64380   23.97180   45.15169   32.99067  F
300  SAX J1712.6-3739  258.14170  -37.64330  348.93474    0.92753  T
301  4U 1746-37  267.55290  -37.05220  353.53096   -5.00514  F
302  4U 1822-000  276.34210   -0.01220   29.93901    5.79219  F
303  [HB89] 0241+622   41.24040   62.46850  135.63585    2.43051  F
304  4U 1850-086  283.27030   -8.70570   25.35537   -4.31990  T
305  Ark 120   79.04760   -0.14980  201.69460  -21.13154  F
306  4U 1916-053  289.69950   -5.23810   31.35777   -8.46363  T
307  SWIFT J1922.7-1716  290.65420  -17.28420   20.68338  -14.52080  T
308  CH Cyg  291.13780   50.24140   81.85802   15.57989  F
309  MCG +04-48-002  307.14610   25.73330   67.00497   -7.57187  F
310  SLX 1737-282  265.23750  -28.31000  359.99462    1.20095  F
311  XTE J1759-220  269.94170  -22.01500    7.58143    0.77506  F
312  AX J1639.0-4642  249.77080  -46.70330  338.00090    0.07634  T
313  RX J170849.0-400910  257.20500  -40.15300  346.48127    0.02710  F
314  SGR A* / Gal center complex  266.41680  -29.00780  359.94424   -0.04613  T
315  AX J1737.4-2907  264.35120  -29.18000  358.84411    1.39519  F
316  2MASS J18024194-2017172  270.66630  -20.28690    9.41765    1.04361  F
317  IGR J16418-4532  250.46800  -45.54800  339.18615    0.48058  T
318  2E 1743.1-2842  266.58000  -28.73530    0.25131   -0.02638  F
319  1E 1841-045  280.33000   -4.93640   27.38661   -0.00601  F
320  SNR G21.5-00.9  278.38330  -10.56000   21.50539   -0.87571  F
321  4U 1708-40  258.09580  -40.84330  346.32704   -0.92766  F
323  GX 339-4  255.70630  -48.78970  338.93940   -4.32671  T
324  Aql X-1  287.81670    0.58500   35.71841   -4.14300  T
325  LEDA 38038  180.69850  -53.83550  295.71397    8.35314  F
326  1RXS J045205.0+493248   73.02080   49.54590  157.25272    3.41971  F
327  2MASX J05021645-2948120   75.56200  -29.79500  231.61409  -35.50546  F
328  SWIFT J1657.3+4807  254.44500   48.14200   74.36801   38.47781  F
329  SWIFT J1145.5+4914  176.38300   49.23400  148.41642   64.50558  F
330  CD-57 3057  152.76230  -57.80390  282.85552   -1.32505  F
331  SWIFT J1332.0+3753  203.00300   37.89000   87.08088   76.27214  F
332  SWIFT J0552.1+6718   88.03400   67.31000  146.22609   19.44178  F
333  SWIFT J212745.6+565636  321.93730   56.94440   97.80257    4.36820  F
334  SWIFT J2234.7-1434  338.68600  -14.58100   47.47770  -55.83273  F
335  IGR J00291+5934    7.26300   59.57200  120.09655   -3.17645  F
336  XTE J1807-294  271.74900  -29.40800    1.93552   -4.27229  F
337  XTE J0929-314  142.32500  -31.38500  260.10000   14.20849  F
338  XTE J1814-338  273.41300  -33.77300  358.74609   -7.58880  F
339  HETE J1900.1-2455  285.03600  -24.92050   11.30486  -12.87276  T
340  SAX J1808.4-3658  272.11500  -36.97900  355.38507   -8.14844  T
341  XTE J1751-305  267.81700  -30.62500  359.18508   -1.92093  F
342  AX J1820.5-1434  275.12300  -14.57300   16.47219    0.06999  F
343  V2400 Oph  258.15190  -24.24570  359.86679    8.73939  F
344  XTE J1720-318  259.99200  -31.78000  354.59751    3.08694  F
345  EXO 1722-363  261.29750  -36.28310  351.49689   -0.35421  F
346  IGR J17285-2922  262.12500  -29.36700  357.62938    2.92243  F
347  IGR J17331-2406  263.28300  -24.11300    2.60640    4.92757  F
348  IGR J17391-3021  264.79800  -30.34400  358.06754    0.44523  T
349  XTE J1739-285  264.97480  -28.49630  359.71407    1.29806  F
350  AX J1740.1-3102  265.02500  -31.03300  357.58804   -0.08666  F
353  KS 1741-293  266.24170  -29.33670  359.58388   -0.08723  T
354  XTE J17464-3213  266.56500  -32.23350  357.25515   -1.83294  T
355  1RXS J174607.8-213333  266.53250  -21.55920    6.36747    3.73440  F
356  IGR J17460-3047  266.57900  -30.79200  358.49360   -1.09448  F
357  SAX J1747.0-2853  266.76080  -28.88300    0.20731   -0.23845  F
360  1A 1744-361  267.08000  -36.12100  354.14035   -4.20367  T
361  H 1745-203  267.22300  -20.36200    7.72874    3.79759  F
362  2MASS J17485512-3254521  267.22970  -32.91450  356.96102   -2.66428  F
363  AX J1749.2-2725  267.30000  -27.41700    1.70814    0.11179  F
364  SLX 1746-331  267.45200  -33.20500  356.80693   -2.97318  F
365  IGR J17507-2856  267.68300  -28.93800    0.57607   -0.95869  F
366  1RXS J175113.3-201214  267.80500  -20.20400    8.14405    3.40877  F
367  IGR J17544-2619  268.60700  -26.33300    3.23526   -0.33775  T
368  SAX J1805.5-2031  271.39200  -20.51300    9.55468    0.34005  F
369  XTE J1818-245  274.60500  -24.54200    7.44086   -4.19583  F
370  SAX J1818.6-1703  274.67500  -17.06700   14.07027   -0.72806  T
371  PKS 1830-21  278.41620  -21.06110   12.16572   -5.71156  F
372  2MFGC 12018  222.30300  -55.60500  319.08534    3.52902  F
373  NGC 6240  253.24540    2.40090   20.72902   27.29089  F
375  RX J0052.1-7319   13.09210  -73.31810  302.83939  -43.80998  F
376  Mrk 352   14.97200   31.82690  125.02612  -31.01049  F
377  NGC 454   18.59500  -55.39900  296.11797  -61.42469  F
378  NGC 0612   23.49060  -36.49330  261.66483  -77.00521  F
379  SWIFT J0201.9-4513   30.40400  -45.23900  269.84625  -67.11774  F
380  Mrk 1018   31.56660   -0.29140  159.81938  -57.70179  F
381  LEDA 138501   32.39290   52.44250  134.82790   -8.61526  F
382  Mrk 590   33.64000   -0.76700  163.50006  -56.94218  F
383  2MASX J02162987+5126246   34.12430   51.44020  136.17222   -9.23162  F
384  [HB89] 0212+735   34.37840   73.82570  128.92724   11.96420  F
385  NGC 931   37.06030   31.31170  146.11400  -27.16579  F
386  NGC 985   38.65740   -8.78760  180.83586  -59.49023  F
387  ESO 416-G002   38.80610  -29.60470  225.26453  -67.08275  F
388  LS I +61 303   40.13190   61.22930  135.67527    1.08609  F
389  2MASX J03181899+6829322   49.57910   68.49210  135.76828    9.36266  F
390  4C 32.14   54.12550   32.30820  158.99965  -18.76502  F
391  ESO 548-G081   55.51550  -21.24440  213.83246  -50.82980  F
392  QSO B0347-121   57.34670  -11.99080  201.92669  -45.70903  F
393  2MASX J03502377-5018354   57.59900  -50.30990  259.69069  -48.99135  F
394  ABELL S0403   59.06100  -34.22400  234.80663  -49.97649  F
395  2MASX J03565655-4041453   59.23560  -40.69600  244.84511  -49.71708  F
396  1H 0419-577   66.50350  -57.20010  266.98643  -41.99622  F
399  ESO 362-18   79.89930  -32.65780  236.02230  -32.57132  F
400  PICTOR A   79.95700  -45.77900  251.59691  -34.63441  F
401  LMC X-2   80.11680  -71.96480  283.09949  -32.69059  F
402  PKS 0521-36   80.74160  -36.45860  240.60773  -32.71597  F
403  PKS 0537-441   84.71000  -44.08600  250.08301  -31.08956  F
404  [HB89] 0537-286   84.97620  -28.66550  232.93991  -27.29250  F
405  LMC X-1   84.91130  -69.74330  280.20313  -31.51597  F
406  PSR B0540-69   85.03220  -69.33480  279.72141  -31.52033  F
407  BY Cam   85.70380   60.85880  151.83340   15.68981  F
408  TX Col   85.83430  -41.03200  246.76978  -29.72992  F
409  V405 Aur   89.49700   53.89580  159.20731   14.31242  F
410  ESO 005- G 004   91.42350  -86.63190  299.20129  -27.74668  F
411  IRAS 05589+2828   90.54460   28.47280  182.23899    2.89616  F
412  SWIFT J214057.8+160015  325.24067   16.00403   70.22737  -26.80384  F
413  ESO 490-IG026  100.04870  -25.89540  235.23535  -13.79227  F
414  2MASX J06403799-4321211  100.15830  -43.35580  252.27483  -20.09280  F
415  2MASX J06411806+3249313  100.32520   32.82540  182.18516   12.36337  F
416  Mrk 6  103.05110   74.42710  140.32732   26.10666  F
417  1RXS J070648.8+032450  106.70320    3.41300  211.63946    4.97383  F
418  BG CMi  112.87080    9.93960  208.47882   13.36202  F
419  Mrk 79  115.63670   49.80970  168.60243   28.38206  F
420  EI UMa  129.59160   48.63380  170.88180   37.35739  F
421  SWIFT J0854.2+7221  133.55100   72.35500  141.46433   34.90565  F
422  Mrk 18  135.49300   60.15200  155.76477   39.37272  F
423  2MASX J09043699+5536025  136.15400   55.60080  161.46635   40.71164  F
424  ABELL 0754  137.20870   -9.63660  239.25163   24.75544  F
425  2MASX J09112999+4528060  137.87490   45.46830  174.79561   43.09344  F
426  IRAS 09149-6206  139.03920  -62.32490  280.61211   -9.19539  F
427  2MASX J09180027+0425066  139.50100    4.41800  227.15455   34.38131  F
428  4U 0919-54  140.11050  -55.20700  275.85232   -3.84534  F
429  MCG -01-24-012  140.19270   -8.05610  239.78096   28.06699  F
430  NGC 3079  150.49080   55.67980  157.81013   48.35977  F
431  Mrk 417  162.37890   22.96440  214.72079   62.14254  F
432  SBS 1136+594  174.78700   59.19900  139.25300   55.57935  F
433  UGC 06728  176.31680   79.68150  126.59196   36.97205  F
434  2MASX J11454045-1827149  176.41860  -18.45430  281.85440   41.71015  F
435  2MASX J12005792+0648226  180.24130    6.80640  270.11441   66.40714  F
436  ARK 347  181.12370   20.31620  242.82974   77.28934  F
437  NGC 4102  181.59630   52.71090  138.07859   63.07231  F
438  Mrk 766  184.61050   29.81290  190.68062   82.27013  F
439  1RXS J122758.8-485343  186.99540  -48.89560  298.96593   13.79544  F
440  WKK 1263  190.35700  -57.83400  301.59486    5.01176  F
441  EX Hya  193.10170  -29.24910  303.18572   33.62217  F
442  3C 279  194.04650   -5.78930  305.10428   57.06242  F
443  SBS 1301+540  195.99780   53.79170  118.81360   63.23606  F
444  NGC 4992  197.27330   11.63410  318.76389   73.96071  F
446  SWIFT J1328.4+6928  202.08900   69.47300  118.17371   47.31271  F
447  NGC 5252  204.56650    4.54260  331.29875   64.80323  F
448  SWIFT J1403.1-8517  211.13900  -85.33100  304.51762  -22.68608  F
449  1415+259  214.48600   25.72400   33.69306   70.60623  F
450  NGC 5548  214.49810   25.13680   31.96065   70.49574  F
451  ESO 511-G030  214.84340  -26.64470  326.22838   32.21831  F
453  1ES 1426+428  217.13610   42.67240   77.48673   64.89885  F
454  Mrk 841  226.00500   10.43780   11.20907   54.63208  F
455  TrA Cluster  249.56708  -64.34722  324.60397  -11.51058  F
456  2MASX J16481523-3035037  252.06350  -30.58450  351.45089    9.22191  F
457  2MASS J16480656-4512068  251.99580  -45.21670  340.13737   -0.11643  F
458  2MASS J16492695-4349090  252.33750  -43.81000  341.37080    0.60251  F
459  Mrk 501  253.46760   39.76020   63.60008   38.85914  F
460  2MASS J16561677-3302127  254.06990  -33.03690  350.59896    6.35694  F
461  CXOU J171935.8-410053  259.89830  -41.01510  346.97806   -2.13618  F
462  1RXS J174538.1+290823  266.40900   29.14000   53.87442   26.24259  F
463  PSR J1838-0655  279.51300   -6.92590   25.24593   -0.19550  F
464  2E 1853.7+1534  284.00530   15.63490   47.41183    6.07049  F
465  XTE J1901+014  285.42080    1.43850   35.38092   -1.62242  F
466  ABELL 2319  290.18890   43.96190   75.67079   13.58037  F
467  2MASX J19301380+3410495  292.55750   34.18050   67.57955    7.59358  F
469  V1432 Aql  295.04780  -10.42360   28.98431  -15.50348  F
470  NGC 6814  295.66940  -10.32350   29.35141  -16.01245  F
471  SWIFT J1935.0+2226  293.74500   22.43900   57.72693    1.07163  F
472  3C 403  298.06600    2.50700   42.26361  -12.31430  F
473  QSO B1959+650  299.99940   65.14850   98.00336   17.66973  F
474  USNO-A2.0 1200-14131541  300.09130   32.18940   68.98585    1.13383  F
475  NGC 6860  302.19540  -61.10020  335.78412  -32.79340  F
476  2MASX J21140128+8204483  318.50490   82.08010  115.97852   22.34419  F
477  SWIFT J212130.5-430320  320.37700  -43.05550  358.00649  -45.01916  F
478  2MASX J21355399+4728217  323.97500   47.47270   92.25813   -3.41380  F
479  SS Cyg  325.67840   43.58610   90.55921   -7.11060  F
480  PKS 2149-306  327.98140  -30.46490   17.07709  -50.78461  F
482  NGC 7213  332.31770  -47.16670  349.58844  -52.58014  F
483  FO AQR  334.48100   -8.35130   53.00006  -49.15795  F
484  NGC 7314  338.94260  -26.05030   27.13516  -59.74301  F
485  NGC 7319  339.01480   33.97570   93.28354  -20.98728  F
486  3C 452  341.45320   39.68770   98.13131  -17.05844  F
487  PKS 2300-18  345.76200  -18.69000   45.89594  -63.71919  F
488  NGC 7469  345.81510    8.87400   83.09855  -45.46668  F
489  Mrk 926  346.18110   -8.68570   64.09148  -58.75759  F
490  Mrk 813  216.85400   19.83100   19.69968   66.86075  F
500  BQ Cam   53.74950   53.17320  146.05199   -2.19402  T
501  MRK 0335    1.58130   20.20290  108.76333  -41.42438  F
502  MRK 1501    2.62920   10.97490  106.97944  -50.62503  F
503  SWIFT J0016.7+4800    4.17500   48.00000  116.94262  -14.46737  F
504  LBQS 0015+0119    4.44100    1.60600  105.83652  -60.14330  F
505  IGR J00234+6141    5.70000   61.66000  119.53961   -1.02298  F
506  2MASX J00253292+6821442    6.38700   68.36230  120.53819    5.61096  F
507  SNR G120.1+01.4    6.28400   64.16500  120.07065    1.43947  F
508  SWIFT J002615.1+050417    6.56310    5.07150  111.28821  -57.22977  F
509  SWIFT J0026.5-5308    6.62500  -53.13300  311.35374  -63.58557  F
510  SWIFT J0030.0-5904    7.50720  -59.04610  308.10716  -57.86651  F
511  IGR J00333+6122    8.24000   61.47000  120.72683   -1.32261  F
512  QSO B0033+595    8.96940   59.83460  120.97564   -2.97803  F
513  BD +60 73    9.29020   61.36010  121.22145   -1.46422  F
514  SWIFT J0037.6+4956    9.40000   49.93300  120.64844  -12.87739  F
515  SWIFT J0039.2+3635    9.79000   36.58000  120.18445  -26.22624  F
516  MRK 1148   12.97830   17.43290  123.09348  -45.43870  F
517  1RXS J005528.0+461143   13.86710   46.19530  123.65998  -16.67075  F
518  UGC 00615   14.91714   15.33098  125.86957  -47.49382  F
519  ESO 195-IG 021 NED03   15.14570  -47.86760  298.61319  -69.18389  F
520  3C 033   17.22030   13.33720  129.44849  -49.31372  F
521  NGC 0424   17.86500  -38.08300  283.19335  -78.26703  F
522  MRK 1152   18.45870  -14.84560  147.05287  -76.65687  F
523  SHBL J012308.7+342049   20.78600   34.34690  130.34566  -28.06801  F
524  NGC 0513   21.11190   33.79950  130.73766  -28.57144  F
525  ESO 353- G 009   22.96008  -33.11928  249.83385  -79.41567  F
526  2MASX J01344565-0430134   23.69017   -4.50364  149.37879  -65.12674  F
527  ESO 080- G 005   26.91383  -66.16317  294.15046  -49.99566  F
528  MCG -01-05-047   28.20420   -3.44680  157.35629  -62.14379  F
529  SWIFT J0200.3+2428   30.08000   24.47400  142.33264  -35.78926  F
530  2MASX J02021731+6821460   30.57200   68.36200  129.41367    6.38643  F
